player_a,player_b,player_a_ranking,player_b_ranking,ranking_difference,player_a_recent_win_rate,player_b_recent_win_rate,player_a_wins
Dusan Lajovic,Taro Daniel,78.0,104.0,26.0,0.4,0.4,0
Oscar Otte,Nikoloz Basilashvili,51.0,25.0,-26.0,0.6,0.6,1
Sebastian Baez,Hugo Dellien,47.0,138.0,91.0,0.4,0.5,1
Arthur Rinderknech,Roberto Bautista Agut,60.0,61.0,1.0,0.5,0.6,0
Jason Kubler,Richard Gasquet,97.0,79.0,-18.0,0.6,0.6,0
Alejandro Tabilo,Jaume Munar,186.0,66.0,-120.0,0.4,0.3,0
Tommy Paul,Grigor Dimitrov,13.0,10.0,-3.0,0.6,0.7,1
Sebastian Baez,Laslo Djere,42.0,34.0,-8.0,0.7,0.8,1
Cristian Garin,Sebastian Korda,87.0,31.0,-56.0,0.3,0.7,0
Jiri Lehecka,Sebastian Baez,94.0,62.0,-32.0,0.5,0.7,0
Yannick Hanfmann,Matteo Berrettini,116.0,50.0,-66.0,0.4,0.9,0
Arthur Fils,Jannik Sinner,118.0,12.0,-106.0,0.5714285714285714,0.9,1
Lorenzo Musetti,Nicolas Jarry,18.0,139.0,121.0,0.5,0.4,0
Frances Tiafoe,Tommy Paul,15.0,14.0,-1.0,0.5,0.9,0
Daniil Medvedev,Jan Lennard Struff,5.0,41.0,36.0,0.7,0.7,1
Taro Daniel,Sebastian Baez,118.0,35.0,-83.0,0.4,0.6,0
Sebastian Korda,Novak Djokovic,33.0,5.0,-28.0,0.8,0.9,0
Emil Ruusuvuori,Facundo Bagnis,43.0,88.0,45.0,0.5,0.3,1
Stan Wawrinka,Frances Tiafoe,51.0,10.0,-41.0,0.6,0.6,1
Christopher Oconnell,Gabriel Diallo,72.0,118.0,46.0,0.5,0.5,0
Hugo Dellien,Jiri Vesely,85.0,74.0,-11.0,0.3,0.5,1
Feliciano Lopez,David Goffin,593.0,99.0,-494.0,0.1,0.4,0
Michael Mmoh,John Isner,89.0,157.0,68.0,0.6,0.5,1
Francisco Cerundolo,Federico Coria,31.0,67.0,36.0,0.5,0.3,0
Arthur Cazaux,Laslo Djere,122.0,33.0,-89.0,0.3333333333333333,0.4,1
Taylor Fritz,Jack Draper,15.0,46.0,31.0,0.5,0.6,1
Emil Ruusuvuori,Taro Daniel,54.0,97.0,43.0,0.5,0.6,1
Cristian Garin,Roberto Bautista Agut,17.0,19.0,2.0,0.4,0.4,0
Yannick Hanfmann,Stefanos Tsitsipas,48.0,5.0,-43.0,0.7,0.7,1
Nick Kyrgios,Novak Djokovic,40.0,3.0,-37.0,0.8,0.9,0
Fabio Fognini,Tommy Paul,93.0,14.0,-79.0,0.6,0.6,0
Tallon Griekspoor,Roberto Carballes Baena,35.0,82.0,47.0,0.6,0.6,0
Casper Ruud,Botic Van De Zandschulp,10.0,32.0,22.0,0.6,0.7,1
Alexander Zverev,Diego Schwartzman,10.0,133.0,123.0,0.9,0.3,1
